trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
202,False,"{'a': 0.5, 'e': 0.13398867466880493}",25,20,7.78081159769198,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13265546508012172}",25,4,-33.96181965071582,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
204,False,"{'a': 0.5, 'e': 0.13133552114849303}",20,8,1.2730825347619454,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,0,32.02561575399699,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.12873490358780423}",20,12,15.043533159970126,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,8,8.127058468531192,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12618578170503877}",30,16,23.29786324833527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,13,-26.627650481802103,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.5, 'e': 0.12368713581745483}",25,14,10.6014123589886,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.1224564282529819}",30,14,-48.60659922420317,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
212,False,"{'a': 0.5, 'e': 0.12123796643338168}",20,16,9.192432811225842,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.12003162851145673}",25,7,-19.333474543957653,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
214,False,"{'a': 0.5, 'e': 0.11883729385240965}",25,16,15.899731307856662,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11765484302177918}",25,17,-49.59820257031281,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
216,False,"{'a': 0.5, 'e': 0.11648415777349697}",20,1,16.769804089294553,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,6,-17.847913772837178,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.5, 'e': 0.1141776169108365}",35,0,12.29679649212583,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
219,False,"{'a': 0.5, 'e': 0.11304153064044985}",35,16,25.614897142392188,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11191674861732888}",35,17,22.360566189140727,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,7,22.099348086445076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10970064851551141}",25,15,19.761357030195683,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10860910882495796}",30,14,3.607547787931681,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10752843013579495}",20,0,25.868648301598736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.1064585043792528}",20,11,13.061053283047576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10539922456186433}",20,10,18.066071482257136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.104350484754765}",25,14,20.231089409571865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
